source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
Reznor later released The Slip in 2008 for free download.,Reznor veröffentlichte später The Slip im Jahr 2008. Menschen konnten es kostenlos herunterladen.,Reznor在2008年免费下载《滑坡》。,Reznor downloaded the landslide free of charge in 2008.,Reznor later published The Slip in 2008. People could download it for free.
"Wahlenbergia species have dispersed widely, even to oceanic islands, and there are four species known from the island of St Helena, including the now extinct species W. roxburghii.","Wahlenbergia Arten haben sich weit verbreitet, auch auf ozeanische Inseln. Es gibt vier Arten von der Insel St Helena bekannt. Dazu gehört die inzwischen ausgestorbene Art W. roxburghii.","瓦伦贝西亚物种分布广泛,甚至扩展到海洋岛屿,圣赫勒拿岛有四种已知物种,包括已灭绝的物种W. roxburghii。","Valencia has a wide range of species, even extending to marine islands, and St. Helena has four known species, including the extinct species W. roxburghii.","Wahlenbergia species have spread widely, also on oceanic islands. There are four species known from the island of St Helena. This includes the now extinct species W. roxburghii."
"Ornithologist Richard Zann perished in the Kinglake fire, together with his wife Eileen and daughter Eva.",Der Ornithologe Richard Zann starb zusammen mit seiner Frau Eileen und seiner Tochter Eva im Kinglake-Feuer.,鸟类专家理查德·赞恩与他的妻子艾琳和女儿伊娃在Kinglake火灾中受苦。,"The bird expert Richard Zann, along with his wife, Irene, and her daughter, Eva, suffered during the Kinglake fire.",The ornithologist Richard Zann died with his wife Eileen and his daughter Eva in the Kinglake fire.
Puckian craters are named after mischievous spirits in European mythology.,Puckianische Krater sind nach frechen Geistern in der europäischen Mythologie benannt.,Puckian弹坑是以欧洲神话中的淘气鬼命名的。,Puckian craters are named after the naughty in the European mythology.,Puckian craters are named after cheeky ghosts in European mythology.
It was designed to be easier to use than other 3D CAD programs.,Es war einfacher zu bedienen als andere 3D-CAD-Programme.,其设计比其他3D CAD程序更容易使用。,The design is easier to use than the other 3D CAD programs.,It was easier to use than other 3D CAD programs.
It has since come to be used for a range of light tints chosen for their neutral or cool appearance.,"Seitdem wird es für eine Reihe von Lichttönen verwendet, die für ihr neutrales oder kühles Aussehen gewählt werden.",用于选取的轻罐子 因为它们的中性或凉爽的颜色...,"Light cans for selection, because they're neutral or cool colors...","Since then, it has been used for a number of shades of light chosen for their neutral or cool appearance."
The story of Tristan and Isolde is a quintessential romance of the Middle Ages and the Renaissance.,Die Geschichte von Tristan und Isolde ist eine klassische Romantik des Mittelalters und der Renaissance.,特里斯坦和伊索德是中世纪和文艺复兴的典型浪漫故事。,Tristan and Isod are classic romantic stories of medieval and Renaissance.,The history of Tristan and Isolde is a classic romance of the Middle Ages and Renaissance.
Leicester is officially the largest city in the region and the largest conurbation is the Nottingham Urban Area.,Leicester ist offiziell die größte Stadt der Region. Der größte Ballungsraum ist die Stadt Nottingham.,"官方说来,莱斯特是该地区最大的城市,最大的混居地是诺丁汉城区。","Officially, Lester is the largest city in the region, with the largest mixed area in Nottingham.",Leicester is officially the largest city in the region. The largest agglomeration is the city of Nottingham.
"Such information is not accessible to people with color blindness, on black-and-white printouts, on older computer displays with fewer colors, on monochrome displays (PDAs, cell phones), and so on.","Diese Informationen sind nicht zugänglich für Menschen mit Farbblindheit. Es ist auch nicht zugänglich auf schwarz-weiß Ausdrucken, auf älteren Computer-Displays mit weniger Farben, auf monochromen Displays (PDAs, Handys), und so weiter.","这些信息不是那些色盲者掌握的,或是黑白打印、颜色较少的旧计算机、平板电脑/手机(monochrome showers)等。","The information is not in the hands of the color-blind, or in the form of black and white printing, less coloured old computers, flat-board computers/phones, etc.","This information is not accessible to people with color blindness. It is also not accessible on black and white prints, on older computer displays with less colors, on monochrome displays (PDAs, mobile phones), and so on."
"Neither, however, described God as appearing in three modes.",Weder beschrieben Gott erscheinen in drei Modi.,它没有形容上帝以三种方式出现。,It does not describe the presence of God in three ways.,Neither described God appear in three modes.
